OBJECTID,metro line,metro_station_num,metro station_name,municipal district,x-longitude,y-latitude,job-worker ratio 2011,job-worker ratio 2012,job-worker ratio 2013,job-worker ratio 2014,job-worker ratio 2015
81,Line 10,9037,Jiaomen East,Fengtai District,116.386,39.8451,NA,NA,NA,0.470797159,0.345991561
82,Line 10,9033,Shiliuzhuang,Fengtai District,116.414,39.8457,NA,NA,0.133426966,0.234366789,0.155015198
83,Line 8,857,Dahongmen,Fengtai District,116.4,39.8454,NA,NA,0.367407407,0.420720152,0.292220114
84,Line 7,739,Guangqumen Inner,Dongcheng District,116.429,39.8935,NA,NA,NA,NA,1.684647303
85,Line 7,735,Qiaowan,Dongcheng District,116.409,39.8927,NA,NA,NA,NA,1.543307087
86,Line 7,733,Zhushikou,Dongcheng District,116.398,39.8913,NA,NA,NA,NA,1.413173653
87,Line 7,731,Hufangqiao,Xicheng District,116.385,39.8895,NA,NA,NA,NA,1.243781095
88,Line 5,565,Songjiazhuang,Fengtai District,116.428,39.8466,0.167449572,0.136690647,0.213474026,0.280701754,0.185384443
89,Line 5,563,Liujiaoyao,Fengtai District,116.422,39.8576,0.333085502,0.337391019,0.341696535,0.422626788,0.33113354
90,Line 5,561,Puhuangyu,Fengtai District,116.422,39.8657,0.17351842,0.183603391,0.193688363,0.256227071,0.174929841
91,Line 5,559,East Gate of Temple of Heaven,Dongcheng District,116.421,39.8843,0.850867052,0.901882801,0.952898551,0.976152623,1.187106918
92,Line 5,557,Ciqikou,Dongcheng District,116.419,39.8931,1.930981595,2.54394513,3.156908665,2.497704316,2.879795396
93,Line 4,467,Gongyi West Bridge,Fengtai District,116.371,39.8361,0.23787816,0.301428921,0.364979682,0.460583489,0.395582329
94,Line 4,465,Jiaomen West,Fengtai District,116.371,39.8459,0.141678129,0.180827627,0.219977125,0.313841202,0.25470852
95,Line 4,463,Majiabao,Fengtai District,116.371,39.8535,0.18563163,0.227127327,0.268623025,0.385336049,0.288158795
96,Line 4,459,Taoranting,Xicheng District,116.374,39.8784,0.569482289,0.583408446,0.597334603,0.758420441,0.770365169
